Go on.,Poursuis.
What's the most fun you've ever had?,Quelle est la plus grosse partie de plaisir que vous ayez eue ?
What's the nature of your emergency?,Quelle est la nature de votre urgence ?
What's the world's highest mountain?,Quelle est la montagne la plus haute au monde ?
What's the world's highest mountain?,Quelle est la montagne la plus haute du monde ?
What's your favorite breakfast food?,Qu’est-ce que vous préférez manger au petit déjeuner ?
What's your favorite breakfast food?,Qu’est-ce que tu préfères manger au petit déjeuner ?
What's your favorite lipstick brand?,Quelle est ta marque de rouge à lèvres préférée ?
What's your favorite lipstick color?,Quelle est ta couleur de rouge à lèvres préférée ?
What's your favorite tongue twister?,Quel est ton virelangue préféré ?
What's your theory on what happened?,Quelle est ta théorie quant à ce qui s'est passé ?
What's your theory on what happened?,Quelle est votre théorie quant à ce qui s'est passé ?
What's your theory on what happened?,Quelle est ta théorie quant à ce qui est survenu ?
What's your theory on what happened?,Quelle est votre théorie quant à ce qui est survenu ?
What's your theory on what happened?,Quelle est ta théorie quant à ce qui a eu lieu ?
What's your theory on what happened?,Quelle est votre théorie quant à ce qui a eu lieu ?
What's your theory on what happened?,Quelle est ta théorie quant à ce qui est arrivé ?
What's your theory on what happened?,Quelle est votre théorie quant à ce qui est arrivé ?
Whatever can go wrong will go wrong.,Tout ce qui peut aller de travers le fera.
Whatever can go wrong will go wrong.,Tout ce qui peut foirer foirera.
"When I grow up, I want to be a king.","Lorsque je serai grand, je veux être roi."
"When I heard that, I started to cry.","Quand j'ai entendu cela, j'ai commencé à pleurer."
When did you begin studying English?,Quand as-tu commencé à apprendre l'anglais ?
When did you begin studying English?,Quand avez-vous commencé à apprendre l'anglais ?
When did you begin to learn English?,Quand as-tu commencé à apprendre l'anglais ?
When did you begin to learn English?,Quand avez-vous commencé à apprendre l'anglais ?
When did you start wearing contacts?,Quand as-tu commencé à porter des lentilles de contact ?
When did you start wearing contacts?,Quand avez-vous commencé à porter des lentilles de contact ?
When will the new magazine come out?,Quand le nouveau magazine paraîtra-t-il ?
When will you get through with work?,Quand en aurez-vous terminé avec le travail ?
When will you get through with work?,Quand en auras-tu terminé avec le travail ?
When would it be convenient for you?,Quand est-ce que ça vous arrangera ?
When would it be convenient for you?,Quand est-ce que ça vous arrange ?
"When you love what you do, it shows.","Quand tu aimes ce que tu fais, ça se voit."
"Whenever I see this, I remember him.","Chaque fois que je vois ça, je me souviens de lui."
Where did you find such an ugly hat?,Où as-tu dégoté un chapeau aussi laid ?
Where did you get that orange scarf?,Où as-tu eu cette écharpe orange ?
Where did you get that orange scarf?,Où est-ce que tu as eu cette écharpe orange ?
Where did you learn to speak French?,Où as-tu appris à parler français ?
Where did you learn to speak French?,Où avez-vous appris à parler français ?
Where is the nearest police station?,Où est le poste de police le plus proche ?
"Where there's a will, there's a way.",Vouloir c'est pouvoir.
"Where there's a will, there's a way.","Là où il y a une volonté, il y a un chemin."
"Wherever you go, you'll be welcomed.","Où que vous alliez, vous serez bienvenu."
"Wherever you go, you'll be welcomed.","Partout où tu iras, tu seras bienvenu."
"Wherever you go, you'll be welcomed.","Où que vous alliez, vous serez bienvenue."
"Wherever you go, you'll be welcomed.","Partout où tu iras, tu seras bienvenue."
"Wherever you go, you'll be welcomed.","Où que vous alliez, vous serez bienvenus."
"Wherever you go, you'll be welcomed.","Où que vous alliez, vous serez bienvenues."
Which applications do you like best?,Quelles applications préférez-vous ?
Which applications do you like best?,Quelles applications préfères-tu ?
Which plan do you believe is better?,"Quel est le meilleur plan, selon toi ?"
Which shoes are you going to put on?,Quelles chaussures vas-tu mettre ?
Which shoes are you going to put on?,Quelles chaussures allez-vous mettre ?
"While reading a book, I fell asleep.","En lisant un livre, je me suis endormi."
Who are you spending Christmas with?,Avec qui passes-tu Noël ?
Who are you spending Christmas with?,Avec qui passez-vous Noël ?
Who are you? What're you doing here?,Qui es-tu ? Que fais-tu ici ?
Who are you? What're you doing here?,Qui êtes-vous ? Que faites-vous ici ?
Who could resist an offer like that?,Qui pourrait résister à une offre pareille ?
Who could resist an offer like that?,Qui pourrait résister à une offre comme ça ?
"Who kissed Tom first, Mary or Alice?","Qui a embrassé Tom la première, Mary ou Alice ?"
Who told you that we should do that?,Qui vous a dit que nous devrions faire cela ?
Who told you that we should do that?,Qui t'a dit qu'on devrait faire ça ?
Who was the man you were talking to?,Qui est l'homme à qui vous parliez ?
Who was the man you were talking to?,Qui est l'homme à qui tu parlais ?
Who would you recommend for the job?,Qui recommanderais-tu pour le travail ?
Who would you recommend for the job?,Qui recommanderiez-vous pour le travail ?
Who's Tom? Is he your new boyfriend?,Qui est Tom? C'est ton nouveau copain ?
Who's the composer of this symphony?,Qui est le compositeur de cette symphonie ?
Who's the girl in a yellow raincoat?,Qui est la fille avec l'imperméable jaune ?
Why are people afraid of the police?,Pourquoi les gens ont-ils peur de la police ?
Why are people scared of the police?,Pourquoi les gens ont-ils peur de la police ?
Why are we still talking about this?,Pourquoi en parlons-nous encore ?
Why are we still talking about this?,Pourquoi parlons-nous encore de ça ?
Why are you looking at me like that?,Pourquoi me regardez-vous ainsi ?
Why are you looking at me like that?,Pourquoi me regardes-tu ainsi ?
Why are you picking a fight with me?,Pourquoi me cherchez-vous querelle ?
Why are you picking a fight with me?,Pourquoi me cherches-tu querelle ?
Why are you staring at me like that?,Pourquoi me fixes-tu comme ça ?
Why are you trying to make me laugh?,Pourquoi essaies-tu de me faire rire ?
Why are you trying to make me laugh?,Pourquoi essayez-vous de me faire rire ?
Why did you become a police officer?,Pourquoi êtes-vous devenu agent de police ?
Why did you go over my head on this?,Pourquoi m'es-tu passé par-dessus pour ça ?
Why did you invite Tom to the party?,Pourquoi as-tu invité Tom à la fête ?
Why did you wait so long to kiss me?,Pourquoi as-tu attendu si longtemps pour m'embrasser ?
Why did you wait so long to kiss me?,Pourquoi avez-vous attendu si longtemps pour m'embrasser ?
Why didn't you tell me that earlier?,Pourquoi ne m'as-tu pas dit cela plus tôt ?
Why didn't you tell me that earlier?,Pourquoi ne m'avez-vous pas dit cela plus tôt ?
Why do we have to decide this today?,Pourquoi devons-nous décider ceci aujourd'hui ?
Why do we have to do this right now?,Pourquoi devons-nous faire ceci immédiatement ?
Why don't they just come and get us?,Pourquoi ne viennent-ils pas simplement nous arrêter ?
Why don't they just come and get us?,Pourquoi ne viennent-elles pas simplement nous prendre ?
Why don't we just sit here and talk?,Pourquoi ne nous asseyons-nous pas ici pour parler ?
Why don't we start at the beginning?,Pourquoi ne commençons-nous pas par le début ?
Why don't we start at the beginning?,Pourquoi ne commençons-nous pas au commencement ?
Why don't you play something for me?,Pourquoi ne joues-tu pas quelque chose pour moi ?
Why don't you play something for me?,Pourquoi ne jouez-vous pas quelque chose pour moi ?
Why don't you play something for me?,Pourquoi ne me joues-tu pas quelque chose ?
Why don't you play something for me?,Pourquoi ne me jouez-vous pas quelque chose ?
Why don't you sing something for me?,Pourquoi ne chantes-tu pas quelque chose pour moi ?
Why don't you sing something for me?,Pourquoi ne chantez-vous pas quelque chose pour moi ?
Why don't you sit down for a moment?,Pourquoi ne t'assieds-tu pas un moment ?
Why don't you sit down for a moment?,Pourquoi ne vous asseyez-vous pas un moment ?
Why don't you take your temperature?,Pourquoi ne prends-tu pas ta température ?
Why is alternative energy important?,Pourquoi les énergies alternatives sont-elles importantes ?
Why is it that you hate Tom so much?,Pourquoi est-ce que tu détestes tant Tom ?
Why is this knife not in the drawer?,Pourquoi ce couteau n'est-il pas dans le tiroir ?
Why not try some of that white wine?,Pourquoi ne pas essayer un peu de ce vin blanc ?
Why would anyone do that on purpose?,Pourquoi quiconque ferait-il cela à dessein ?
Why would anyone do that on purpose?,Pourquoi quiconque le ferait-il exprès ?
Will there be any food at the party?,Y aura-t-il la moindre nourriture à la fête ?
Will you give me a ride to my hotel?,M'accompagneras-tu à mon hôtel ?
Will you give me a ride to my hotel?,M'accompagnerez-vous à mon hôtel ?
Will you give me something to drink?,Me donnerez-vous quelque chose à boire ?
Will you glance through this report?,Jetterez-vous un œil sur ce rapport ?
Will you glance through this report?,Jetteras-tu un œil sur ce rapport ?
Will you lend your dictionary to me?,Tu me prêtes ton dictionnaire ?
Will you please check these figures?,"Peux-tu vérifier ces chiffres, s'il te plaît?"
Will you please put the baby to bed?,"Veux-tu mettre le bébé au lit, je te prie ?"
Will you please put the baby to bed?,"Voulez-vous mettre le bébé au lit, je vous prie ?"
Will you teach me how to play chess?,Pourriez-vous m'apprendre à jouer aux échecs ?
"Without your help, I have no chance.","Sans votre aide, je n'ai aucune chance."
"Without your help, I have no chance.","Sans ton aide, je n'ai aucune chance."
Would you excuse me just one moment?,Voudriez-vous m'excuser un moment ?
Would you like another piece of pie?,Voudriez-vous un autre part de tarte ?
Would you like another piece of pie?,Voudriez-vous un autre part de tourte ?
Would you like me to call you a cab?,Voudrais-tu que je t'appelle un taxi ?
Would you like me to tell the truth?,Voulez-vous que je dise la vérité ?
Would you like me to tell the truth?,Veux-tu que je dise la vérité ?
Would you like more mashed potatoes?,Voudriez-vous davantage de purée de pommes-de-terre ?
Would you like more mashed potatoes?,Voudrais-tu davantage de purée de pommes-de-terre ?
Would you like to eat lunch with me?,Souhaitez-vous déjeuner avec moi ?
Would you like to go hiking with us?,Tu veux faire une randonnée avec nous ?
Would you like to have a cup of tea?,Voulez-vous une tasse de thé ?
Would you like to have another beer?,Voudriez-vous une autre bière ?
Would you like to have another beer?,Voudrais-tu une autre bière ?
Would you mind if I went home early?,Verrais-tu un inconvénient à ce que je rentre tôt à la maison ?
Would you mind if I went home early?,Verriez-vous un inconvénient à ce que je rentre tôt chez moi ?
Would you mind speaking more slowly?,Pourriez-vous parler un peu plus lentement ?
Would you mind telling me one thing?,Cela te dérangerait-il de me dire un truc ?
Would you mind telling me one thing?,Cela vous dérangerait-il de me dire un truc ?
Would you please fill out this form?,"Veuillez, s'il vous plait, remplir ce formulaire ?"
